Round,paddle_right,paddle_left,paddle_lower,paddle_upper
1,46,4,29,25
100,24,6,26,19
200,23,49,30,35
300,18,39,18,31
400,34,65,60,63
500,19,45,22,30
600,33,42,29,41
700,20,25,26,27
800,5,18,18,53
900,21,31,20,25
1000,20,31,15,31
1100,29,19,26,8
1200,14,20,30,28
1300,30,34,49,34
1400,24,47,20,39
1500,28,21,15,17
1600,28,26,34,16
1700,29,29,22,22
1800,34,27,31,30
1900,36,29,39,34
2000,37,30,39,29
2100,33,19,16,33
2200,23,30,24,21
2300,16,36,31,34
2400,30,40,36,40
2500,13,24,19,21
2600,17,26,15,17
2700,34,34,22,41
2800,24,17,36,20
2900,39,25,40,27
3000,30,39,41,46
3100,30,32,21,31
3200,33,42,37,35
3300,32,29,20,23
3400,43,38,50,29
3500,48,36,37,36
3600,38,43,40,39
3700,30,27,27,25
3800,35,32,35,28
3900,29,27,34,31
4000,34,39,47,49
