Round,hit_first_0,hit_second_0,hit_third_0,hit_fourth_0,first_0,second_0,third_0,fourth_0,team1_wins,team2_wins,team1_hit,team2_hit
1,130,200,102,166,-3.0,2.0,-2.0,2.0,2,3,232,366
500,118,97,140,137,22.0,-19.0,19.0,-19.0,4,1,258,234
1000,10,906,189,1262,-1592.0,147.0,-1592.0,147.0,0,5,199,2168
1500,64,402,376,344,-893.0,28.0,-893.0,28.0,2,3,440,746
2000,70,36,1075,63,-1586.0,141.0,-1586.0,141.0,0,5,1145,99
2500,6,292,6,334,-56.0,51.0,-51.0,51.0,0,5,12,626
3000,56,120,274,258,99.0,-94.0,94.0,-94.0,5,0,330,378
3500,31,208,77,260,-70.0,65.0,-65.0,65.0,0,5,108,468
4000,56,241,94,292,-57.0,52.0,-52.0,52.0,0,5,150,533
